Title,Video ID,Statistics
Javascript Tutorial in Hindi - 2023,2o9rX2-CWAc,"{'viewCount': '20277', 'likeCount': '520', 'favoriteCount': '0', 'commentCount': '26'}"
How to crack Data Engineering Roles with Top Companies,KDkhtt4s4uo,"{'viewCount': '2805', 'likeCount': '59', 'favoriteCount': '0', 'commentCount': '1'}"
Build a career in Data Analytics as a recent graduate,GnNAicgXyTM,"{'viewCount': '4372', 'likeCount': '121', 'favoriteCount': '0', 'commentCount': '5'}"
Understanding Logistic Regression & Data Analytics career path for recent graduates,9FVjHT1K5nI,"{'viewCount': '0', 'likeCount': '0', 'favoriteCount': '0', 'commentCount': '0'}"
Understanding Logistic Regression & Data Analytics career path for recent graduates,SEek5ldZq4g,"{'viewCount': '3083', 'likeCount': '116', 'favoriteCount': '0', 'commentCount': '3'}"
Logical Reasoning for Beginners in Hindi | Great Learning,xKpna95IEZ0,"{'viewCount': '4529', 'likeCount': '144', 'favoriteCount': '0', 'commentCount': '7'}"
Docker Tutorial for Beginners | Docker Full Course | Devops Tools | Great Learning,0G2G9US0Btc,"{'viewCount': '5612', 'likeCount': '184', 'favoriteCount': '0', 'commentCount': '5'}"
5 Key Skills to Kickstart your Career in Artificial Intelligence | Great Learning,vswKe-CvEH0,"{'viewCount': '4314', 'likeCount': '139', 'favoriteCount': '0', 'commentCount': '12'}"
Become a Technical Director | Great Learning,1uf8RxEp_5M,"{'viewCount': '2267', 'likeCount': '47', 'favoriteCount': '0', 'commentCount': '7'}"
Roadmap to becoming a Full Stack Developer in 2022 | Great Learning,UssH1ESthLA,"{'viewCount': '6007', 'likeCount': '229', 'favoriteCount': '0', 'commentCount': '11'}"
Become a UI designer | Great Learning,2VKWEl08KnI,"{'viewCount': '1867', 'likeCount': '55', 'favoriteCount': '0', 'commentCount': '5'}"
Become a System Administrator | Great Learning,Pi9j1Qkt3uk,"{'viewCount': '2488', 'likeCount': '88', 'favoriteCount': '0', 'commentCount': '3'}"
Become a Senior QA Analyst | Great Learning,WC16BNr5rj8,"{'viewCount': '1994', 'likeCount': '36', 'favoriteCount': '0', 'commentCount': '3'}"
Cracking Top Software Jobs without a background in Computer Science,FrPEBZUX8_Q,"{'viewCount': '6200', 'likeCount': '228', 'favoriteCount': '0', 'commentCount': '9'}"
Become a Cloud Network Engineer | Great Learning,XWaNg5Nm1Sk,"{'viewCount': '3825', 'likeCount': '101', 'favoriteCount': '0', 'commentCount': '5'}"
How to Ace Interviews with Product Based Companies,uSlws0TOD8g,"{'viewCount': '4591', 'likeCount': '277', 'favoriteCount': '0', 'commentCount': '1'}"
Become a Machine Learning Scientist | Great Learning,UNzQ0fxWeNQ,"{'viewCount': '2087', 'likeCount': '72', 'favoriteCount': '0', 'commentCount': '5'}"
The 5-Step Strategy to Crack Data Science & Big Data Jobs in Top Companies,9c0u-yUnQw0,"{'viewCount': '3094', 'likeCount': '151', 'favoriteCount': '0', 'commentCount': '3'}"
Become a User Experience Writer | Great Learning,KFoxO88wOaU,"{'viewCount': '1041', 'likeCount': '29', 'favoriteCount': '0', 'commentCount': '2'}"
Compensation Management | Types of compensation in HR Management | Great Learning,c75U2xofWEM,"{'viewCount': '12585', 'likeCount': '226', 'favoriteCount': '0', 'commentCount': '9'}"
NumPy Standard Deviation | NumPy Statistical Functions | Great Learning,7TPggqvgmcE,"{'viewCount': '2285', 'likeCount': '63', 'favoriteCount': '0', 'commentCount': '3'}"
Career Guidance | Interview Questions | Where do you see yourself in 5 years | #Shorts,hKneQWkW2WY,"{'viewCount': '1650', 'likeCount': '41', 'favoriteCount': '0', 'commentCount': '4'}"
Finance Basics Tutorial | Introduction to Financial Markets | Great Learning,PUO5k6zlz9E,"{'viewCount': '8861', 'likeCount': '208', 'favoriteCount': '0', 'commentCount': '0'}"
Model Deployment Tutorial | Flask tutorial for beginners | Great Learning,ZRnTp4V7i_E,"{'viewCount': '3013', 'likeCount': '85', 'favoriteCount': '0', 'commentCount': '4'}"
Classification Algorithm Tutorial | Machine Learning Tutorial | Great Learning,41dNWXr4aEE,"{'viewCount': '4631', 'likeCount': '137', 'favoriteCount': '0', 'commentCount': '3'}"
IDEs for Machine Learning | Best IDEs for Machine Learning | Great Learning,BxM0BrSP6GY,"{'viewCount': '3121', 'likeCount': '54', 'favoriteCount': '0', 'commentCount': '1'}"
Project Management Tutorial | Different Project Management Software | Great Learning,rXtlQJqQiqc,"{'viewCount': '2753', 'likeCount': '82', 'favoriteCount': '0', 'commentCount': '6'}"
Data Visualization Tutorial | Tableau | PowerBI | Matplotlib | Seaborn | Great Learning,NcObpPx8KTk,"{'viewCount': '6899', 'likeCount': '221', 'favoriteCount': '0', 'commentCount': '8'}"
Python Libraries for Machine Learning | Scipy | NumPy | Pandas | Matplotlib | Great Learning,Z6zSFJU3Sps,"{'viewCount': '10310', 'likeCount': '268', 'favoriteCount': '0', 'commentCount': '6'}"
"Web development Projects using HTML, CSS, Javascript & Jquery - 2023",s2mavmg80ro,"{'viewCount': '13556', 'likeCount': '372', 'favoriteCount': '0', 'commentCount': '9'}"
Classification Algorithm in Hindi | Linear Regression | Logistic Regression | Great Learning,ULMH7gipL0k,"{'viewCount': '3151', 'likeCount': '76', 'favoriteCount': '0', 'commentCount': '4'}"
Career in Cyber Security | Cyber Security career roadmap | Great Learning,59IHPuqqpL0,"{'viewCount': '2009', 'likeCount': '78', 'favoriteCount': '0', 'commentCount': '5'}"
How to become a Data Analyst | Data Analyst Career path | Great Learning,OOGnI75w7GE,"{'viewCount': '16493', 'likeCount': '184', 'favoriteCount': '0', 'commentCount': '21'}"
Artificial Intelligence Projects | Artificial Intelligence Training | Great Learning,SWwkBbxEuis,"{'viewCount': '4133', 'likeCount': '134', 'favoriteCount': '0', 'commentCount': '3'}"
Become a Data Scientist | Roadmap to Data Scientist 2022 simplified | Great Learning,DXCDsHPmBR8,"{'viewCount': '9890', 'likeCount': '133', 'favoriteCount': '0', 'commentCount': '13'}"
Basic Programs in Python | Palindrome in Python | Fibonacci Series in Python | Great Learning,xMCxxTr3gro,"{'viewCount': '7046', 'likeCount': '240', 'favoriteCount': '0', 'commentCount': '6'}"
Exploratory Data Analysis Tutorial | Basics of EDA with Python | Great Learning,05w2322DHUI,"{'viewCount': '18426', 'likeCount': '410', 'favoriteCount': '0', 'commentCount': '15'}"
How to become a R Developer ? | Great Learning,B5pIW0ADfjE,"{'viewCount': '2958', 'likeCount': '67', 'favoriteCount': '0', 'commentCount': '5'}"
Become a Software Engineer | Roadmap to Software Engineer 2022 | Great Learning,ak7rw_KWTrY,"{'viewCount': '7921', 'likeCount': '214', 'favoriteCount': '0', 'commentCount': '6'}"
Supervised Learning Projects Tutorial | Machine Learning Tutorial | Great Learning,lQsQ1mc5tSQ,"{'viewCount': '5348', 'likeCount': '109', 'favoriteCount': '0', 'commentCount': '15'}"
Become a Full Stack Developer | Full Stack Developer Roadmap 2022 | Great Learning,BKwoon5dyMY,"{'viewCount': '7383', 'likeCount': '196', 'favoriteCount': '0', 'commentCount': '16'}"
